strength_factor,vmax_factor,steps_survived,confidence,distance,double_support_pct,cadence_per_1000steps,n_total_strikes,gap_to_ALS
0.75,0.4,133,ok,2.237395832936306,10.679611650485436,58.25242718446602,6,30.08700834951457
0.75,0.3,93,low_confidence,1.4728291202743202,8.571428571428571,42.857142857142854,3,32.195191428571434
0.75,0.2,81,low_confidence,1.2822478608671397,19.672131147540984,49.18032786885246,3,21.09448885245902
0.75,0.15,70,low_confidence,1.0769299308505125,24.528301886792452,56.60377358490566,3,16.23831811320755
0.75,0.1,65,low_confidence,1.0209115903141448,18.367346938775512,40.816326530612244,2,22.39927306122449
0.7,1.0,282,ok,4.202795877777039,7.142857142857142,43.650793650793645,11,33.623762857142864
0.7,0.8,1000,ok,14.525605514723372,6.391752577319587,40.206185567010316,39,34.37486742268042
0.7,0.6,1000,ok,14.856137398950398,7.628865979381444,47.42268041237113,46,33.13775402061856
0.7,0.4,104,low_confidence,1.6564737857624354,14.102564102564102,38.46153846153847,3,26.6640558974359
0.7,0.3,93,low_confidence,1.51153424052724,10.0,42.857142857142854,3,30.766620000000003
0.7,0.2,75,low_confidence,1.1677495210112727,31.57894736842105,52.63157894736842,3,9.187672631578952
0.7,0.15,69,low_confidence,1.0622507189810775,28.846153846153843,19.230769230769234,1,11.92046615384616
0.7,0.1,64,low_confidence,1.002081022073147,16.666666666666664,41.666666666666664,2,24.09995333333334
0.65,1.0,354,ok,5.538443302739879,8.024691358024691,52.46913580246913,17,32.74192864197531
0.65,0.8,632,ok,8.879709520478354,8.637873754152823,43.18936877076412,26,32.12874624584718
0.65,0.6,133,low_confidence,2.215459691269644,9.70873786407767,38.83495145631068,4,31.057882135922334
0.65,0.4,97,low_confidence,1.5435566732602393,13.698630136986301,54.794520547945204,4,27.0679898630137
0.65,0.3,89,low_confidence,1.4495099759887473,11.940298507462686,29.850746268656717,2,28.826321492537318
0.65,0.2,72,low_confidence,1.119257090269425,29.629629629629626,18.51851851851852,1,11.136990370370377
0.65,0.15,66,low_confidence,1.0195259366712797,26.0,40.0,2,14.766620000000003
0.65,0.1,64,low_confidence,1.0053978108097426,18.75,41.666666666666664,2,22.016620000000003
0.6,1.0,1000,ok,14.305695593046028,9.690721649484537,42.2680412371134,41,31.075898350515466
0.6,0.8,412,ok,6.271095448665579,12.30366492146597,62.82722513089005,24,28.462955078534034
0.6,0.6,144,low_confidence,2.3725882077278526,8.771929824561402,35.08771929824561,4,31.9946901754386
0.6,0.4,92,low_confidence,1.46480669910375,10.144927536231885,28.985507246376812,2,30.62169246376812
0.6,0.3,76,low_confidence,1.2122311548385258,22.807017543859647,70.17543859649122,4,17.959602456140356
0.6,0.2,69,low_confidence,1.0684212135289486,30.76923076923077,38.46153846153847,2,9.997389230769233
0.6,0.15,65,low_confidence,1.0057941233028829,28.57142857142857,20.408163265306122,1,12.195191428571434
0.6,0.1,63,low_confidence,0.9904802738268564,12.5,20.833333333333332,1,28.266620000000003
